term,course,section,capacity,enrolled,days,start,end
2027SP,CS 3233,01,30,18,MWF,10:00,10:50
2027SP,CS 3433,01,25,12,MWF,10:30,11:20
2027SP,CS 3433,02,25,9,MWF,13:00,13:50
2027SP,CS 4123,01,20,11,TR,13:00,14:15
2027SP,SENG 3233,01,24,20,TR,14:00,15:15
2027SP,MA 2314,01,35,28,TR,09:30,10:45
2027SP,CS 2113,01,30,22,TR,10:45,12:00
2027SP,CS 3113,01,28,15,MWF,08:00,08:50
2027SP,CS 3113,01,28,15,R,15:30,18:20
2027SP,PH 2414,01,40,33,TR,15:30,16:45
2027SP,CS 3213,01,30,30,MWF,12:00,12:50
2027SP,CS 3213,02,30,14,MWF,14:00,14:50
2026FA,CS 1113,01,40,35,MWF,09:00,09:50
2026FA,MA 1314,01,40,38,MWF,10:00,10:50
